panel,gender,row_order,system,endpoint,label_display,seed,baseline_auc_raw,baseline_auc_plotted,gait_auc
a,male,17,medical_conditions,Asthma,Asthma,8,0.5259997143673236,0.5259997143673236,0.5129820051413881
a,male,17,medical_conditions,Asthma,Asthma,9,0.5322872036560982,0.5322872036560982,0.5371608111968009
a,male,18,medical_conditions,Sinusitis,Sinusitis,0,0.5123376950598828,0.5123376950598828,0.551794802882435
a,male,18,medical_conditions,Sinusitis,Sinusitis,1,0.5135807031394353,0.5135807031394353,0.5880436060672233
a,male,18,medical_conditions,Sinusitis,Sinusitis,2,0.5124048846858045,0.5124048846858045,0.5742025431273412
a,male,18,medical_conditions,Sinusitis,Sinusitis,3,0.5,0.5,0.6066383350410697
a,male,18,medical_conditions,Sinusitis,Sinusitis,4,0.502830362991954,0.502830362991954,0.5528530394907026
a,male,18,medical_conditions,Sinusitis,Sinusitis,5,0.525002939546134,0.525002939546134,0.5307980447818856
a,male,18,medical_conditions,Sinusitis,Sinusitis,6,0.5,0.5,0.5805519627769473
a,male,18,medical_conditions,Sinusitis,Sinusitis,7,0.5,0.5,0.5797120924529253
a,male,18,medical_conditions,Sinusitis,Sinusitis,8,0.5277745116154066,0.5277745116154066,0.6066383350410697
a,male,18,medical_conditions,Sinusitis,Sinusitis,9,0.51490769825139,0.51490769825139,0.591134328859624
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,0,0.5537398921832885,0.5537398921832885,0.5094451931716082
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,1,0.5627583108715184,0.5627583108715184,0.5155660377358491
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,2,0.5544137466307277,0.5544137466307277,0.5369496855345912
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,3,0.5244946091644205,0.5244946091644205,0.5287174303683737
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,4,0.5462769541778976,0.5462769541778976,0.5200359389038633
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,5,0.5308737646001797,0.5308737646001797,0.5044586702605571
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,6,0.5145327942497753,0.5145327942497753,0.5164195867026056
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,7,0.5500224618149147,0.5500224618149147,0.5250898472596586
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,8,0.5545092093441151,0.5545092093441151,0.5131738544474393
a,male,19,medical_conditions,B12 Deficiency,B12 Deficiency,9,0.5426100628930818,0.5426100628930818,0.5219564240790656
c,female,1,medical_conditions,Psoriasis,Psoriasis,0,0.5,0.5,0.5720830477930912
c,female,1,medical_conditions,Psoriasis,Psoriasis,1,0.5,0.5,0.5982385339729435
c,female,1,medical_conditions,Psoriasis,Psoriasis,2,0.5,0.5,0.5997106525546333
c,female,1,medical_conditions,Psoriasis,Psoriasis,3,0.5,0.5,0.5843168608340313
c,female,1,medical_conditions,Psoriasis,Psoriasis,4,0.5,0.5,0.6099266478844642
c,female,1,medical_conditions,Psoriasis,Psoriasis,5,0.5,0.5,0.6173253128251986
c,female,1,medical_conditions,Psoriasis,Psoriasis,6,0.5,0.5,0.6254854184116349
c,female,1,medical_conditions,Psoriasis,Psoriasis,7,0.5,0.5,0.5969187035203939
c,female,1,medical_conditions,Psoriasis,Psoriasis,8,0.5,0.5,0.565928069240336
c,female,1,medical_conditions,Psoriasis,Psoriasis,9,0.5,0.5,0.6198126856011574
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,0,0.5,0.5,0.4723895582329317
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,1,0.5908275960986804,0.5908275960986804,0.5992183017785427
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,2,0.563916379804934,0.563916379804934,0.6115174985656913
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,3,0.5939651462994837,0.5939651462994837,0.5444635685599541
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,4,0.5731497418244407,0.5731497418244407,0.6422117039586919
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,5,0.5735979632816982,0.5735979632816982,0.5925487664945496
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,6,0.5476549053356282,0.5476549053356282,0.6299842226047045
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,7,0.5,0.5,0.5328815261044177
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,8,0.5585018646012622,0.5585018646012622,0.5900387263339071
c,female,2,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,9,0.5891602122776821,0.5891602122776821,0.6052782558806655
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0,0.5,0.5,0.5761463003240268
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,1,0.5471725331794576,0.5471725331794576,0.6280127835234586
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,2,0.5539082959740779,0.5539082959740779,0.6418394069865506
