panel,target,series,seed,pearson_r
Male,Heart rate,GaitMAE gait embeddings,12,0.3578797068142704
Male,Heart rate,GaitMAE gait embeddings,13,0.3419581805526636
Male,Heart rate,GaitMAE gait embeddings,14,0.3595484528294138
Male,Heart rate,Normalized keypoints,0,0.2578588381247844
Male,Heart rate,Normalized keypoints,1,0.2371444008777398
Male,Heart rate,Normalized keypoints,2,0.2543862588390667
Male,Heart rate,Normalized keypoints,3,0.2629976366599929
Male,Heart rate,Normalized keypoints,4,0.2539951428949364
Male,Liver elasticity,GaitMAE gait embeddings,0,0.2123417137183506
Male,Liver elasticity,GaitMAE gait embeddings,1,0.1983760295214936
Male,Liver elasticity,GaitMAE gait embeddings,2,0.1957212413428531
Male,Liver elasticity,GaitMAE gait embeddings,3,0.1956425294922968
Male,Liver elasticity,GaitMAE gait embeddings,4,0.1909577961021963
Male,Liver elasticity,GaitMAE gait embeddings,5,0.183879110520706
Male,Liver elasticity,GaitMAE gait embeddings,6,0.1993847858098684
Male,Liver elasticity,GaitMAE gait embeddings,7,0.1971284978498419
Male,Liver elasticity,GaitMAE gait embeddings,8,0.1965540462446703
Male,Liver elasticity,GaitMAE gait embeddings,9,0.1853516486670833
Male,Liver elasticity,GaitMAE gait embeddings,10,0.1890837699126965
Male,Liver elasticity,GaitMAE gait embeddings,11,0.1990640031985305
Male,Liver elasticity,GaitMAE gait embeddings,12,0.1965548352154164
Male,Liver elasticity,GaitMAE gait embeddings,13,0.2038337988457886
Male,Liver elasticity,GaitMAE gait embeddings,14,0.180977697502689
Male,Liver elasticity,Normalized keypoints,0,0.1890985905317701
Male,Liver elasticity,Normalized keypoints,1,0.1443504967811994
Male,Liver elasticity,Normalized keypoints,2,0.1700760458539198
Male,Liver elasticity,Normalized keypoints,3,0.1298272438715209
Male,Liver elasticity,Normalized keypoints,4,0.1566376773745168
Male,VAT area,GaitMAE gait embeddings,0,0.8140477005417287
Male,VAT area,GaitMAE gait embeddings,1,0.8155216847012609
Male,VAT area,GaitMAE gait embeddings,2,0.8158074625875942
Male,VAT area,GaitMAE gait embeddings,3,0.8127087039326325
Male,VAT area,GaitMAE gait embeddings,4,0.8155994628602931
Male,VAT area,GaitMAE gait embeddings,5,0.815456594818272
Male,VAT area,GaitMAE gait embeddings,6,0.8139536288783956
Male,VAT area,GaitMAE gait embeddings,7,0.8153098326949825
Male,VAT area,GaitMAE gait embeddings,8,0.8138855506409768
Male,VAT area,GaitMAE gait embeddings,9,0.813055980786754
Male,VAT area,GaitMAE gait embeddings,10,0.814957414101681
Male,VAT area,GaitMAE gait embeddings,11,0.8130916872812165
Male,VAT area,GaitMAE gait embeddings,12,0.816274495601233
Male,VAT area,GaitMAE gait embeddings,13,0.8103587823206108
Male,VAT area,GaitMAE gait embeddings,14,0.8114781465938857
Male,VAT area,Normalized keypoints,0,0.7733083000911146
Male,VAT area,Normalized keypoints,1,0.7719708367208498
Male,VAT area,Normalized keypoints,2,0.770276497979171
Male,VAT area,Normalized keypoints,3,0.7750356384818724
Male,VAT area,Normalized keypoints,4,0.7726689200459185
