panel,gender,x_position,system,system_display,label,pearson_r,baseline_pearson_r,pearson_r_improvement,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
Male,male,2,metabolites,Metabolites,O-Cresol sulfate_p-Cresol sulfate,0.1271795198595732,0.05685802198518,0.0703214978743931,0.0013167522032309,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 2.30_187.0092m_z)
Male,male,2,metabolites,Metabolites,PC(2_0_20_3(6 8 11)-OH(5)),0.0927707876872149,0.0398723114444706,0.0528984762427442,0.0147660607720793,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 4.98_602.3464m_z)
Male,male,2,metabolites,Metabolites,Tetrahydroaldosterone-3-glucuronide,0.1298608116147319,0.0337235299757054,0.0961372816390265,0.0005135624905397,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 2.68_539.2502m_z)
Male,male,2,metabolites,Metabolites,indolelactate_	3-Indolehydracrylic acid,0.1003763466634579,0.0733086496462369,0.027067697017221,0.0076572456610453,0.000213623046875,0.0015717077091387,15,853,Annotated metabolite (original: 2.36_204.0670m_z)
Male,male,2,metabolites,Metabolites,xanthurenate,0.1532572919562325,0.0356425571644563,0.1176147347917762,7.142449084060625e-05,3.0517578125e-05,0.0003283323355056,15,853,Annotated metabolite (original: 1.49_204.0304m_z)
Male,male,3,glycemic_status,Glycemic,iglu_adrr,0.0982493421522539,0.0342793572723905,0.0639699848798633,0.007057648375185,3.0517578125e-05,0.0003283323355056,15,1036,Average Daily Risk Range (ADRR) - a metric quantifying glucose variability and risk by measuring the range of glucose excursions and their frequency from continuous glucose monitoring
Male,male,4,cardiovascular_system,Cardiovascular,automorph_distance_tortuosity,0.0746697585247102,0.0547436324526583,0.0199261260720519,0.0340980398581337,0.001678466796875,0.009954563468447,15,1072,"Measures the distance-based tortuosity of the complete retinal vascular network, quantifying overall vessel path deviation from straight lines."
Male,male,4,cardiovascular_system,Cardiovascular,automorph_fractal_dimension,0.3079822259693955,0.2324163859481291,0.0755658400212663,2.75779083756507e-23,3.0517578125e-05,0.0003283323355056,15,1072,"Measures the fractal complexity of the entire retinal vascular network, with values typically between 1-2 representing self-similar branching patterns and overall vascular complexity."
Male,male,4,cardiovascular_system,Cardiovascular,automorph_vein_average_width,0.0987168498248759,0.0408059265153032,0.0579109233095727,0.0058068274625296,3.0517578125e-05,0.0003283323355056,15,1072,"Measures the mean caliber/diameter of retinal veins in pixels (microns), representing average venous vessel width throughout the retinal vascular network."
Male,male,4,cardiovascular_system,Cardiovascular,automorph_vein_fractal_dimension,0.2687989193821768,0.1752249292089388,0.0935739901732379,5.621381116619559e-17,3.0517578125e-05,0.0003283323355056,15,1072,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
Male,male,4,cardiovascular_system,Cardiovascular,hr_bpm,0.3040496007337196,0.2778303821479939,0.0262192185857257,6.0849245046191e-26,6.103515625e-05,0.0005502158717105,15,1347,Heart rate measured in beats per minute
Male,male,4,cardiovascular_system,Cardiovascular,p_mv_III,0.1243264754802826,0.0435098674684823,0.0808166080118002,5.060597498309086e-05,3.0517578125e-05,0.0003283323355056,15,1257,"Cardiac electrical potential (voltage) measured in lead III from electrocardiogram (ECG), representing left leg-to-right arm vector"
Male,male,4,cardiovascular_system,Cardiovascular,p_mv_aVF,0.1324620725152325,0.0387255415129838,0.0937365310022487,0.0001378096865127,3.0517578125e-05,0.0003283323355056,15,1287,P wave amplitude in augmented lead aVF from ECG - measures atrial depolarization in the inferior lead
Male,male,4,cardiovascular_system,Cardiovascular,p_mv_aVL,0.1418269118731846,0.0634565257323404,0.0783703861408442,4.1122008171934494e-05,3.0517578125e-05,0.0003283323355056,15,979,"Cardiac electrical potential (voltage) measured in lead aVL from electrocardiogram (ECG), representing left arm augmented vector recording"
