activity,fpr,tpr,auc
activity_tm_3kmh,0.024506873879258817,0.8797546012269939,0.9865327705638817
activity_tm_3kmh,0.025702331141661684,0.8797546012269939,0.9865327705638817
activity_tm_3kmh,0.02630005977286312,0.8803680981595092,0.9865327705638817
activity_tm_3kmh,0.02630005977286312,0.8834355828220859,0.9865327705638817
activity_tm_3kmh,0.026897788404064555,0.8834355828220859,0.9865327705638817
activity_tm_3kmh,0.02749551703526599,0.8895705521472392,0.9865327705638817
activity_tm_3kmh,0.02749551703526599,0.8907975460122699,0.9865327705638817
activity_tm_3kmh,0.028093245666467422,0.898159509202454,0.9865327705638817
activity_tm_3kmh,0.029288702928870293,0.898159509202454,0.9865327705638817
activity_tm_3kmh,0.029288702928870293,0.9030674846625767,0.9865327705638817
activity_tm_3kmh,0.029886431560071727,0.9049079754601227,0.9865327705638817
activity_tm_3kmh,0.030484160191273164,0.9049079754601227,0.9865327705638817
activity_tm_3kmh,0.031081888822474597,0.9067484662576687,0.9865327705638817
activity_tm_3kmh,0.031081888822474597,0.9085889570552147,0.9865327705638817
activity_tm_3kmh,0.031679617453676034,0.911042944785276,0.9865327705638817
activity_tm_3kmh,0.0328750747160789,0.911042944785276,0.9865327705638817
activity_tm_3kmh,0.0328750747160789,0.9122699386503067,0.9865327705638817
activity_tm_3kmh,0.03347280334728033,0.9159509202453988,0.9865327705638817
activity_tm_3kmh,0.034668260609683206,0.9159509202453988,0.9865327705638817
activity_tm_3kmh,0.035265989240884636,0.9171779141104295,0.9865327705638817
activity_tm_3kmh,0.035265989240884636,0.9177914110429448,0.9865327705638817
activity_tm_3kmh,0.03586371787208607,0.9177914110429448,0.9865327705638817
activity_tm_3kmh,0.03765690376569038,0.9220858895705522,0.9865327705638817
activity_tm_3kmh,0.03765690376569038,0.9245398773006135,0.9865327705638817
activity_tm_3kmh,0.04004781829049611,0.9251533742331288,0.9865327705638817
activity_tm_3kmh,0.04064554692169755,0.9251533742331288,0.9865327705638817
activity_tm_3kmh,0.04064554692169755,0.9257668711656442,0.9865327705638817
activity_tm_3kmh,0.041243275552898986,0.9263803680981595,0.9865327705638817
activity_tm_3kmh,0.04423191870890616,0.9263803680981595,0.9865327705638817
activity_tm_3kmh,0.04602510460251046,0.9269938650306748,0.9865327705638817
activity_tm_3kmh,0.04602510460251046,0.9300613496932515,0.9865327705638817
activity_tm_3kmh,0.04662283323371189,0.9319018404907975,0.9865327705638817
activity_tm_3kmh,0.04722056186491333,0.9319018404907975,0.9865327705638817
activity_tm_3kmh,0.04722056186491333,0.9337423312883436,0.9865327705638817
activity_tm_3kmh,0.0484160191273162,0.9343558282208589,0.9865327705638817
activity_tm_3kmh,0.049013747758517634,0.9343558282208589,0.9865327705638817
activity_tm_3kmh,0.049611476389719064,0.9349693251533743,0.9865327705638817
activity_tm_3kmh,0.049611476389719064,0.9355828220858896,0.9865327705638817
activity_tm_3kmh,0.0502092050209205,0.9355828220858896,0.9865327705638817
activity_tm_3kmh,0.05140466228332337,0.9361963190184049,0.9865327705638817
activity_tm_3kmh,0.05140466228332337,0.938036809815951,0.9865327705638817
activity_tm_3kmh,0.052002390914524806,0.9392638036809816,0.9865327705638817
activity_tm_3kmh,0.05319784817692767,0.9392638036809816,0.9865327705638817
activity_tm_3kmh,0.05319784817692767,0.9411042944785276,0.9865327705638817
activity_tm_3kmh,0.05499103407053198,0.941717791411043,0.9865327705638817
activity_tm_3kmh,0.05678421996413628,0.941717791411043,0.9865327705638817
activity_tm_3kmh,0.05797967722653915,0.9423312883435583,0.9865327705638817
activity_tm_3kmh,0.05797967722653915,0.9429447852760736,0.9865327705638817
activity_tm_3kmh,0.05917513448894202,0.9441717791411043,0.9865327705638817
activity_tm_3kmh,0.05977286312014345,0.9441717791411043,0.9865327705638817
activity_tm_3kmh,0.05977286312014345,0.9447852760736196,0.9865327705638817
activity_tm_3kmh,0.06037059175134489,0.945398773006135,0.9865327705638817
activity_tm_3kmh,0.06096832038254633,0.945398773006135,0.9865327705638817
activity_tm_3kmh,0.06156604901374776,0.9460122699386503,0.9865327705638817
activity_tm_3kmh,0.06156604901374776,0.947239263803681,0.9865327705638817
activity_tm_3kmh,0.06276150627615062,0.947239263803681,0.9865327705638817
activity_tm_3kmh,0.06335923490735207,0.9478527607361963,0.9865327705638817
activity_tm_3kmh,0.06335923490735207,0.9503067484662576,0.9865327705638817
activity_tm_3kmh,0.0639569635385535,0.950920245398773,0.9865327705638817
activity_tm_3kmh,0.06634787806335923,0.950920245398773,0.9865327705638817
activity_tm_3kmh,0.06634787806335923,0.9521472392638037,0.9865327705638817
activity_tm_3kmh,0.06754333532576211,0.9533742331288344,0.9865327705638817
activity_tm_3kmh,0.07053197848176927,0.9533742331288344,0.9865327705638817
activity_tm_3kmh,0.07112970711297072,0.9539877300613497,0.9865327705638817
activity_tm_3kmh,0.07112970711297072,0.9546012269938651,0.9865327705638817
activity_tm_3kmh,0.07172743574417215,0.9552147239263804,0.9865327705638817
activity_tm_3kmh,0.07411835026897788,0.9552147239263804,0.9865327705638817
activity_tm_3kmh,0.07411835026897788,0.9558282208588957,0.9865327705638817
activity_tm_3kmh,0.07710699342498506,0.9570552147239264,0.9865327705638817
activity_tm_3kmh,0.07830245068738792,0.9570552147239264,0.9865327705638817
activity_tm_3kmh,0.0794979079497908,0.9576687116564417,0.9865327705638817
activity_tm_3kmh,0.0794979079497908,0.9582822085889571,0.9865327705638817
activity_tm_3kmh,0.08009563658099222,0.9582822085889571,0.9865327705638817
activity_tm_3kmh,0.08248655110579797,0.9607361963190184,0.9865327705638817
activity_tm_3kmh,0.08248655110579797,0.9631901840490797,0.9865327705638817
activity_tm_3kmh,0.08547519426180514,0.9638036809815951,0.9865327705638817
activity_tm_3kmh,0.08965929468021518,0.9638036809815951,0.9865327705638817
activity_tm_3kmh,0.08965929468021518,0.9644171779141104,0.9865327705638817
activity_tm_3kmh,0.09205020920502092,0.9650306748466257,0.9865327705638817
activity_tm_3kmh,0.09384339509862523,0.9650306748466257,0.9865327705638817
activity_tm_3kmh,0.09444112372982666,0.9662576687116564,0.9865327705638817
activity_tm_3kmh,0.09444112372982666,0.9668711656441717,0.9865327705638817
activity_tm_3kmh,0.09503885236102809,0.9674846625766871,0.9865327705638817
activity_tm_3kmh,0.09563658099222953,0.9674846625766871,0.9865327705638817
activity_tm_3kmh,0.09563658099222953,0.9680981595092024,0.9865327705638817
activity_tm_3kmh,0.09742976688583384,0.9687116564417177,0.9865327705638817
activity_tm_3kmh,0.09982068141063957,0.9687116564417177,0.9865327705638817
activity_tm_3kmh,0.10101613867304243,0.9711656441717792,0.9865327705638817
activity_tm_3kmh,0.10101613867304243,0.9717791411042945,0.9865327705638817
activity_tm_3kmh,0.1022115959354453,0.9717791411042945,0.9865327705638817
activity_tm_3kmh,0.10699342498505679,0.9736196319018405,0.9865327705638817
activity_tm_3kmh,0.10699342498505679,0.9742331288343559,0.9865327705638817
activity_tm_3kmh,0.10998206814106395,0.9748466257668712,0.9865327705638817
