system,label,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,Hypercholesterolaemia,female,2,0.5,0.5462941847206385
medical_conditions,Hypercholesterolaemia,female,3,0.5,0.5421892816419612
medical_conditions,Hypercholesterolaemia,female,4,0.5,0.5526795895096921
medical_conditions,Hypercholesterolaemia,female,5,0.5,0.5567844925883695
medical_conditions,Hypercholesterolaemia,female,6,0.5,0.538654503990878
medical_conditions,Hypercholesterolaemia,female,7,0.5,0.4835803876852908
medical_conditions,Hypercholesterolaemia,female,8,0.5,0.585860889395667
medical_conditions,Hypercholesterolaemia,female,9,0.5,0.5669327251995439
medical_conditions,Psoriasis,female,0,0.5,0.5701033021142669
medical_conditions,Psoriasis,female,1,0.5,0.6007385974263306
medical_conditions,Psoriasis,female,2,0.5,0.6070458641082261
medical_conditions,Psoriasis,female,3,0.5,0.586766161577705
medical_conditions,Psoriasis,female,4,0.5,0.6121475164344273
medical_conditions,Psoriasis,female,5,0.5,0.6163354399857864
medical_conditions,Psoriasis,female,6,0.5,0.6288357572527222
medical_conditions,Psoriasis,female,7,0.5026269702276707,0.600294423716338
medical_conditions,Psoriasis,female,8,0.5,0.5650651031752075
medical_conditions,Psoriasis,female,9,0.5,0.6229472829259626
medical_conditions,Glaucoma,female,0,0.6782195888063963,0.7775556824671617
medical_conditions,Glaucoma,female,1,0.6565533980582524,0.7686322101656197
medical_conditions,Glaucoma,female,2,0.6107224443175329,0.7687749857224443
medical_conditions,Glaucoma,female,3,0.670902341519132,0.7366504854368933
medical_conditions,Glaucoma,female,4,0.7045259851513421,0.7997572815533981
medical_conditions,Glaucoma,female,5,0.676434894346088,0.81846087949743
medical_conditions,Glaucoma,female,6,0.6741504854368933,0.8113221016561964
medical_conditions,Glaucoma,female,7,0.6616219303255282,0.7646344945745289
medical_conditions,Glaucoma,female,8,0.6939962878355226,0.8849229011993146
medical_conditions,Glaucoma,female,9,0.6852512849800114,0.8687892632781267
medical_conditions,Uveitis,female,0,0.547945205479452,0.691617742987606
medical_conditions,Uveitis,female,1,0.5,0.5732224396607959
medical_conditions,Uveitis,female,2,0.5,0.6765329419439008
medical_conditions,Uveitis,female,3,0.5234018264840182,0.6840345727332029
medical_conditions,Uveitis,female,4,0.5070939334637965,0.6494618395303327
medical_conditions,Uveitis,female,5,0.5,0.6775114155251142
medical_conditions,Uveitis,female,6,0.5600130463144162,0.6447325505544683
medical_conditions,Uveitis,female,7,0.5341650358773646,0.7418460534898892
medical_conditions,Uveitis,female,8,0.5,0.5723255055446836
medical_conditions,Uveitis,female,9,0.5828440965427266,0.5622961513372472
medical_conditions,Headache,female,0,0.5,0.6340662257515096
medical_conditions,Headache,female,1,0.5,0.6123559468247474
medical_conditions,Headache,female,2,0.5,0.5931230507199894
medical_conditions,Headache,female,3,0.522760954677166,0.6052224114667433
medical_conditions,Headache,female,4,0.5264217301864673,0.6101550576212701
medical_conditions,Headache,female,5,0.5,0.5440841425379902
medical_conditions,Headache,female,6,0.5061934570550111,0.6284257559335531
medical_conditions,Headache,female,7,0.5102192041407684,0.6148112101572696
medical_conditions,Headache,female,8,0.511491074785994,0.6077661527571945
medical_conditions,Headache,female,9,0.501083854984627,0.5817315136366652
medical_conditions,Peptic Ulcer Disease,female,0,0.5,0.5747037152115051
medical_conditions,Peptic Ulcer Disease,female,1,0.5316813884326868,0.6204891473212304
medical_conditions,Peptic Ulcer Disease,female,2,0.5504682853211417,0.636002485685117
medical_conditions,Peptic Ulcer Disease,female,3,0.5289182831017799,0.5795197301256159
medical_conditions,Peptic Ulcer Disease,female,4,0.5039504638465977,0.5654711704913666
medical_conditions,Peptic Ulcer Disease,female,5,0.5267211150073239,0.62790181543788
medical_conditions,Peptic Ulcer Disease,female,6,0.5053153712992143,0.6509165963868792
medical_conditions,Peptic Ulcer Disease,female,7,0.5121177149451819,0.6550668027875183
