system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr
proteomics,GFRA2,pearson_r,0.0067477477852233,0.0304791014324405,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0237313536472171,female,regression,0.6348033958798008,0.0206298828125,15,659,,0.1093635372999237
proteomics,LGALS7,pearson_r,0.0810804664247727,0.0304325896673191,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0506478767574536,female,regression,0.2094317457049682,0.012786865234375,15,659,,0.071079927332261
proteomics,CXCL1,pearson_r,0.0403354577384582,0.0303019363910482,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0100335213474099,female,regression,0.4460274314171994,0.01507568359375,15,659,,0.0825365196247245
proteomics,CEACAM3,pearson_r,-0.0519941724220841,0.0302843770014703,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0822785494235545,male,regression,0.3888555047993449,0.023956298828125,15,659,,0.1083891647291233
proteomics,CRISP2,pearson_r,0.0077203525697579,0.0302038537674802,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0224835011977223,female,regression,0.6201734098382466,0.04730224609375,15,659,,0.2344616462594426
proteomics,CEBPB,pearson_r,-0.0522138657775308,0.0301160542598861,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0823299200374169,male,regression,0.3967337189827005,0.027679443359375,15,659,,0.1234361227964743
proteomics,IL2RB,pearson_r,0.0659891494726261,0.0299708677420858,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0360182817305403,female,regression,0.2567445959112682,0.0062255859375,15,659,,0.0367698669433593
proteomics,TNF,pearson_r,-0.0006899467040495,0.0299151188817247,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0306050655857743,female,regression,0.6914749647575564,0.009033203125,15,659,,0.05194091796875
proteomics,IFI30,pearson_r,0.0360539436859917,0.0297473291033332,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0063066145826585,male,regression,0.5123109596061294,0.08441162109375,15,659,,0.345920573530278
proteomics,MILR1,pearson_r,-0.0308487270565202,0.0296958429670372,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0605445700235574,male,regression,0.5491307852680234,0.009033203125,15,659,,0.0441307496488764
proteomics,CKAP4,pearson_r,-0.0029821639573997,0.0294661998966282,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0324483638540279,male,regression,0.5370228684981289,0.04730224609375,15,659,,0.2022322183044493
proteomics,PADI2,pearson_r,0.0568415364801676,0.0293524773778393,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0274890591023282,female,regression,0.3493049335866389,0.0318603515625,15,659,,0.1635146968620867
proteomics,DYNC1H1,pearson_r,0.0004061905659907,0.0292751582286968,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0288689676627061,male,regression,0.6898170792671316,0.0062255859375,15,659,,0.0313659880141946
proteomics,CHST2,pearson_r,-0.0178326041245096,0.0291875500177538,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0470201541422635,female,regression,0.6706092422211655,0.027679443359375,15,659,,0.1434118477749739
proteomics,SMAD2,pearson_r,-0.0050809918972413,0.0291183197979573,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0341993116951987,female,regression,0.6729363603106905,0.0318603515625,15,659,,0.1635146968620867
proteomics,IFI30,pearson_r,0.1101657989716194,0.0290696415574104,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0810961574142089,female,regression,0.0861715064127992,0.00213623046875,15,659,,0.0140063255620757
proteomics,MDGA1,pearson_r,-0.0089397209193784,0.0288628238324955,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.037802544751874,female,regression,0.6473148758763843,0.00335693359375,15,659,,0.0209362845509774
proteomics,ZBTB16,pearson_r,-0.0053645435647145,0.0287362820501047,True,1.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0341008256148192,male,regression,0.7519731431156023,0.00213623046875,15,658,,0.0119540927646396
proteomics,TRIM41,pearson_r,-0.0561369170161338,0.0286365683488294,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0847734853649632,female,regression,0.3782581880934457,0.053497314453125,15,659,,0.2615892305148868
proteomics,ERN1,pearson_r,0.1065035455215854,0.0284458734021517,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0780576721194337,female,regression,0.0935161031350712,0.0416259765625,15,659,,0.2094306945800781
