target,activity,gender,metric,source,seed,value
bmi,activity_romberg_closed,all,pearson_r,embeddings,5,0.8303613196140598
bmi,activity_romberg_closed,all,pearson_r,embeddings,6,0.8376391971333327
bmi,activity_romberg_closed,all,pearson_r,embeddings,7,0.8311497760873087
bmi,activity_romberg_closed,all,pearson_r,embeddings,8,0.830330456939779
bmi,activity_romberg_closed,all,pearson_r,embeddings,9,0.8385047962038212
bmi,activity_romberg_closed,all,pearson_r,embeddings,10,0.8312648537676965
bmi,activity_romberg_closed,all,pearson_r,embeddings,11,0.8357801127745406
bmi,activity_romberg_closed,all,pearson_r,embeddings,12,0.8332357962532225
bmi,activity_romberg_closed,all,pearson_r,embeddings,13,0.8334579648903876
bmi,activity_romberg_closed,all,pearson_r,embeddings,14,0.8323292054672143
bmi,ensemble,male,pearson_r,embeddings,0,0.8980659067854702
bmi,ensemble,male,pearson_r,embeddings,1,0.897539179080393
bmi,ensemble,male,pearson_r,embeddings,2,0.8975445866852735
bmi,ensemble,male,pearson_r,embeddings,3,0.8971897887892472
bmi,ensemble,male,pearson_r,embeddings,4,0.8980003325221286
bmi,ensemble,male,pearson_r,embeddings,5,0.8971711001116113
bmi,ensemble,male,pearson_r,embeddings,6,0.8976531776861786
bmi,ensemble,male,pearson_r,embeddings,7,0.8978973740858418
bmi,ensemble,male,pearson_r,embeddings,8,0.8977132868195886
bmi,ensemble,male,pearson_r,embeddings,9,0.897897490662506
bmi,ensemble,male,pearson_r,embeddings,10,0.8977185734782915
bmi,ensemble,male,pearson_r,embeddings,11,0.8986667161734557
bmi,ensemble,male,pearson_r,embeddings,12,0.8970581999578523
bmi,ensemble,male,pearson_r,embeddings,13,0.8982765632344066
bmi,ensemble,male,pearson_r,embeddings,14,0.8977295005730374
bmi,activity_tm_3kmh,male,pearson_r,embeddings,0,0.8395573850308493
bmi,activity_tm_3kmh,male,pearson_r,embeddings,1,0.8423463422319101
bmi,activity_tm_3kmh,male,pearson_r,embeddings,2,0.8392293522486577
bmi,activity_tm_3kmh,male,pearson_r,embeddings,3,0.8405531948045806
bmi,activity_tm_3kmh,male,pearson_r,embeddings,4,0.8385203900006999
bmi,activity_tm_3kmh,male,pearson_r,embeddings,5,0.8417415087019352
bmi,activity_tm_3kmh,male,pearson_r,embeddings,6,0.8418606111057184
