umap_1,umap_2,activity
14.552589,4.145822,stationary_walk
6.1154537,-4.5829115,tm_3kmh
7.38829,14.040968,romberg_closed
6.7695737,-6.38328,self_selected_gait_speed
-0.39739075,3.3766148,sit_to_stand
15.1376295,5.0161743,stationary_walk
9.342972,15.000421,romberg_closed
6.584677,-3.1464841,self_selected_gait_speed
-2.764679,5.0255113,sit_to_stand
15.43123,3.3608634,stationary_walk
7.598918,-2.5681853,tm_3kmh
5.6354003,11.408177,romberg_closed
9.707091,-2.6029918,self_selected_gait_speed
-2.21493,3.230819,sit_to_stand
15.646593,6.4083643,stationary_walk
9.0868435,-2.8278866,tm_3kmh
10.36493,14.21109,romberg_closed
4.787833,-3.2887418,self_selected_gait_speed
-1.2241132,2.9080305,sit_to_stand
15.380559,4.9876313,stationary_walk
4.8657575,-3.4050171,tm_3kmh
8.402637,14.167765,romberg_closed
9.828072,-3.836287,self_selected_gait_speed
-0.31539676,5.479954,sit_to_stand
16.232677,5.3163967,stationary_walk
9.44436,-4.397511,tm_3kmh
6.479463,13.795576,romberg_closed
9.196701,-6.273799,self_selected_gait_speed
-0.19031899,3.452285,sit_to_stand
15.53237,5.2588286,stationary_walk
8.96563,-6.393058,tm_3kmh
6.4731817,14.222258,romberg_closed
7.452072,-3.662481,self_selected_gait_speed
-1.8991895,6.003162,sit_to_stand
16.719599,5.3020277,stationary_walk
7.3913074,-3.7800977,tm_3kmh
8.993299,15.220617,romberg_closed
8.3937435,-4.6853085,self_selected_gait_speed
-2.9608877,5.032353,sit_to_stand
16.443588,5.292041,stationary_walk
8.1757345,-4.425104,tm_3kmh
8.4378805,14.31336,romberg_closed
7.621269,-4.866219,self_selected_gait_speed
-2.6455622,5.042884,sit_to_stand
17.068968,5.3025575,stationary_walk
8.295255,-5.3121815,tm_3kmh
7.1732755,13.277961,romberg_closed
7.361618,-1.4414235,self_selected_gait_speed
-3.1746323,5.3790293,sit_to_stand
17.464144,6.5721908,stationary_walk
5.8118095,-1.5790004,tm_3kmh
9.749543,13.248787,romberg_closed
8.638667,-6.596246,self_selected_gait_speed
-1.9830561,4.788751,sit_to_stand
14.581304,4.3800035,stationary_walk
8.644974,-6.3552837,tm_3kmh
9.649191,15.0109215,romberg_closed
9.355076,-5.221993,self_selected_gait_speed
-0.35825068,4.6278386,sit_to_stand
15.889547,4.0943375,stationary_walk
9.370419,-4.6721034,tm_3kmh
5.079448,11.12025,romberg_closed
9.664369,-4.2185297,self_selected_gait_speed
-1.487862,2.6103132,sit_to_stand
14.780227,6.0353823,stationary_walk
9.693972,-4.19445,tm_3kmh
6.164429,12.232109,romberg_closed
7.0109487,-5.625565,self_selected_gait_speed
-1.9533862,3.917255,sit_to_stand
16.477423,5.908472,stationary_walk
7.4694424,-5.373554,tm_3kmh
8.907192,13.513718,romberg_closed
9.062272,-5.228424,self_selected_gait_speed
-1.4011983,3.0947678,sit_to_stand
15.061262,5.129877,stationary_walk
8.841051,-5.1427603,tm_3kmh
6.3653665,14.345096,romberg_closed
8.60976,-4.777007,self_selected_gait_speed
-1.610133,5.1219025,sit_to_stand
17.854248,5.612765,stationary_walk
8.200096,-4.671973,tm_3kmh
11.126365,14.612874,romberg_closed
9.728486,-3.5025468,self_selected_gait_speed
-3.4960935,4.1371884,sit_to_stand
15.299459,4.3381486,stationary_walk
9.696986,-3.3482406,tm_3kmh
7.4350147,14.3825,romberg_closed
5.726444,-4.54943,self_selected_gait_speed
-0.19079754,5.3881474,sit_to_stand
15.543044,3.591239,stationary_walk
5.663918,-4.690452,tm_3kmh
4.9471874,11.177334,romberg_closed
9.146231,-5.8236656,self_selected_gait_speed
-1.6254448,4.0161867,sit_to_stand
17.472235,6.6523304,stationary_walk
9.003391,-5.577168,tm_3kmh
6.162239,13.640472,romberg_closed
8.968502,-6.5481725,self_selected_gait_speed
-0.53772473,3.8897297,sit_to_stand
15.773828,6.2347784,stationary_walk
9.118382,-6.4017553,tm_3kmh
7.752146,14.284175,romberg_closed
8.273492,-4.9037275,self_selected_gait_speed
-2.0317302,5.7488623,sit_to_stand
17.544933,5.4573264,stationary_walk
8.903443,-4.500188,tm_3kmh
8.317449,13.630277,romberg_closed
6.107266,-5.4953103,self_selected_gait_speed
-1.6845558,4.4427223,sit_to_stand
16.25574,4.847776,stationary_walk
5.933462,-5.4284387,tm_3kmh
5.117708,11.06149,romberg_closed
8.206535,-3.0530767,self_selected_gait_speed
-2.580306,3.3838894,sit_to_stand
16.642672,6.7044425,stationary_walk
7.977044,-2.8724563,tm_3kmh
9.630798,15.465742,romberg_closed
9.104694,-4.318002,self_selected_gait_speed
-1.7503467,5.590043,sit_to_stand
14.769321,3.2604034,stationary_walk
9.476651,-3.5567672,tm_3kmh
6.4835043,14.144571,romberg_closed
7.9251456,-3.5308387,self_selected_gait_speed
-1.8947824,4.78645,sit_to_stand
16.160088,4.9193077,stationary_walk
8.200282,-3.9147663,tm_3kmh
10.475077,13.511936,romberg_closed
8.659026,-4.828589,self_selected_gait_speed
-0.83420646,3.2287304,sit_to_stand
15.190661,5.2894506,stationary_walk
7.7345786,-5.3256106,tm_3kmh
6.6993823,12.198629,romberg_closed
6.487072,-5.623812,self_selected_gait_speed
-0.16781496,4.3974743,sit_to_stand
15.035703,3.9949064,stationary_walk
6.565654,-5.6554227,tm_3kmh
7.553051,14.4485445,romberg_closed
8.893218,-2.258945,self_selected_gait_speed
-3.5337107,4.967286,sit_to_stand
15.509199,4.804975,stationary_walk
8.795731,-2.3578033,tm_3kmh
10.471911,14.937007,romberg_closed
8.037546,-5.19178,self_selected_gait_speed
-2.8640242,5.476297,sit_to_stand
15.178297,4.4090567,stationary_walk
7.764402,-5.003432,tm_3kmh
9.748682,13.73655,romberg_closed
8.877892,-5.9738235,self_selected_gait_speed
-1.8684473,4.4090824,sit_to_stand
16.773464,4.3443108,stationary_walk
8.744226,-5.5807624,tm_3kmh
6.742928,13.767927,romberg_closed
8.341789,-3.9632359,self_selected_gait_speed
-3.019838,4.8935795,sit_to_stand
16.738384,5.04002,stationary_walk
8.272496,-4.336211,tm_3kmh
6.233591,11.651658,romberg_closed
9.791606,-3.8239014,self_selected_gait_speed
-1.2403026,4.6021895,sit_to_stand
16.353811,6.392001,stationary_walk
9.839253,-4.202831,tm_3kmh
7.2496853,14.91601,romberg_closed
5.6600714,-4.346793,self_selected_gait_speed
-0.021245878,5.037554,sit_to_stand
16.88314,5.1067867,stationary_walk
5.6279573,-4.357502,tm_3kmh
10.2852545,14.310657,romberg_closed
5.7536736,-5.3322625,self_selected_gait_speed
-1.000303,3.7528462,sit_to_stand
14.611678,4.2345505,stationary_walk
5.6973915,-5.2299924,tm_3kmh
9.400986,14.553799,romberg_closed
5.8456774,-4.7317014,self_selected_gait_speed
-1.6242992,5.120224,sit_to_stand
15.941471,4.645127,stationary_walk
6.067081,-5.1988544,tm_3kmh
6.4966536,13.627538,romberg_closed
8.675307,-3.5279226,self_selected_gait_speed
-3.3773844,4.0502567,sit_to_stand
17.115343,6.840484,stationary_walk
8.731076,-3.512639,tm_3kmh
8.140173,13.840053,romberg_closed
7.719955,-6.4095397,self_selected_gait_speed
-3.3151925,4.737928,sit_to_stand
15.87912,5.3594136,stationary_walk
5.469319,-3.8495789,tm_3kmh
9.269368,15.291676,romberg_closed
8.204646,-6.0643435,self_selected_gait_speed
-0.89270055,4.6045017,sit_to_stand
15.366121,3.621299,stationary_walk
8.219115,-6.057621,tm_3kmh
6.8446097,13.0727005,romberg_closed
5.839511,-4.518093,self_selected_gait_speed
-2.046125,5.3394227,sit_to_stand
16.978077,5.490911,stationary_walk
5.839172,-4.495663,tm_3kmh
8.222495,13.740664,romberg_closed
7.276237,-4.0747094,self_selected_gait_speed
-2.7898138,5.6055694,sit_to_stand
16.647068,4.8203,stationary_walk
6.1724725,-4.888585,tm_3kmh
8.801191,13.916865,romberg_closed
7.387846,-4.139472,self_selected_gait_speed
-0.87031496,4.1010904,sit_to_stand
16.313778,5.3778768,stationary_walk
7.903156,-3.576114,tm_3kmh
10.640429,14.44417,romberg_closed
6.4122496,-3.8127272,self_selected_gait_speed
-2.2402172,4.8618536,sit_to_stand
16.354061,5.051184,stationary_walk
6.632714,-3.5691938,tm_3kmh
6.462489,11.943088,romberg_closed
7.5793295,-3.757841,self_selected_gait_speed
-2.9282725,4.3205004,sit_to_stand
15.598037,4.97527,stationary_walk
7.3207273,-3.7156222,tm_3kmh
9.9980345,15.141527,romberg_closed
8.9480095,-6.126279,self_selected_gait_speed
-0.22449096,4.6563244,sit_to_stand
16.72536,4.3351164,stationary_walk
8.712066,-5.8760843,tm_3kmh
7.0896106,13.880498,romberg_closed
-1.164748,3.1577046,sit_to_stand
13.590766,4.3620186,stationary_walk
8.745589,14.395312,romberg_closed
8.034758,-2.861075,self_selected_gait_speed
-3.6100147,5.0331244,sit_to_stand
16.641039,5.238384,stationary_walk
8.098214,-3.3576667,tm_3kmh
9.59708,15.342636,romberg_closed
7.127733,-6.569411,self_selected_gait_speed
0.36986864,4.9645123,sit_to_stand
15.113382,3.3028538,stationary_walk
7.22398,-6.634664,tm_3kmh
8.337453,14.60067,romberg_closed
8.141068,-5.869066,self_selected_gait_speed
0.17482264,4.913778,sit_to_stand
15.875995,4.4277453,stationary_walk
8.175631,-5.8798203,tm_3kmh
5.8454204,11.701943,romberg_closed
9.952139,-3.1450696,self_selected_gait_speed
-1.2276092,3.1251287,sit_to_stand
16.055426,4.5470643,stationary_walk
9.68273,-3.681685,tm_3kmh
6.1180325,13.920317,romberg_closed
7.6835647,-5.9049006,self_selected_gait_speed
-2.8496702,4.5937967,sit_to_stand
17.369091,5.9001927,stationary_walk
7.329652,-6.1462812,tm_3kmh
10.309586,13.881079,romberg_closed
5.9861574,-5.837639,self_selected_gait_speed
-0.5537755,3.53367,sit_to_stand
14.466148,3.6242528,stationary_walk
6.039995,-5.672742,tm_3kmh
6.220813,11.552338,romberg_closed
9.112438,-3.0276248,self_selected_gait_speed
-2.7098408,3.9637277,sit_to_stand
17.099142,6.257863,stationary_walk
8.996974,-2.6102593,tm_3kmh
6.287222,12.265588,romberg_closed
8.053432,-2.562352,self_selected_gait_speed
-1.8683167,3.2681534,sit_to_stand
15.685293,6.453735,stationary_walk
8.042489,-2.7331197,tm_3kmh
8.292669,15.3412285,romberg_closed
9.586657,-4.143521,self_selected_gait_speed
-1.1780038,5.7326193,sit_to_stand
15.848404,4.351629,stationary_walk
9.190156,-5.355776,tm_3kmh
6.6125517,13.242936,romberg_closed
7.706038,-4.1425943,self_selected_gait_speed
-1.6757823,4.344128,sit_to_stand
15.352165,4.8855925,stationary_walk
7.600177,-5.2854486,tm_3kmh
7.789354,14.417646,romberg_closed
7.037422,-4.993598,self_selected_gait_speed
-0.19347323,5.234584,sit_to_stand
13.843115,4.7225437,stationary_walk
7.283766,-4.4037194,tm_3kmh
6.409348,14.300062,romberg_closed
6.564827,-2.1654494,self_selected_gait_speed
-0.9757307,6.0044146,sit_to_stand
17.214514,4.842061,stationary_walk
6.981884,-2.1068063,tm_3kmh
7.3964715,13.642212,romberg_closed
7.4363303,-5.432869,self_selected_gait_speed
-1.8596009,5.0587234,sit_to_stand
15.781573,3.4365404,stationary_walk
7.201438,-5.475089,tm_3kmh
9.242796,13.680082,romberg_closed
6.4610295,-2.7540236,self_selected_gait_speed
-3.128696,5.4202113,sit_to_stand
16.634258,4.881478,stationary_walk
6.4451013,-3.0228696,tm_3kmh
6.561181,14.054026,romberg_closed
8.991492,-5.548703,self_selected_gait_speed
-0.35841545,3.1611261,sit_to_stand
16.51557,6.302062,stationary_walk
8.55278,-5.807801,tm_3kmh
10.133136,14.272879,romberg_closed
