target,setting,source,model,gender,metric,seed,value
liver_elasticity,full,clinical,ridge,male,pearson_r,1,0.14593268248704933
liver_elasticity,full,clinical,ridge,male,pearson_r,2,0.1429036921135508
liver_elasticity,full,clinical,ridge,male,pearson_r,3,0.14422203613271334
liver_elasticity,full,clinical,ridge,male,pearson_r,4,0.1464607456115142
liver_elasticity,full,clinical,ridge,male,pearson_r,5,0.14812157350135946
liver_elasticity,full,clinical,ridge,male,pearson_r,6,0.14163512683223706
liver_elasticity,full,clinical,ridge,male,pearson_r,7,0.13918975546685894
liver_elasticity,full,clinical,ridge,male,pearson_r,8,0.14654880040824547
liver_elasticity,full,clinical,ridge,male,pearson_r,9,0.13990477029165732
liver_elasticity,full,clinical,ridge,male,pearson_r,10,0.13477166821995618
liver_elasticity,full,clinical,ridge,male,pearson_r,11,0.14229801937310987
liver_elasticity,full,clinical,ridge,male,pearson_r,12,0.14414285295864399
liver_elasticity,full,clinical,ridge,male,pearson_r,13,0.14135170519125623
liver_elasticity,full,clinical,ridge,male,pearson_r,14,0.13644271719826018
liver_elasticity,full,clinical,ridge,female,pearson_r,0,0.10303332384905864
liver_elasticity,full,clinical,ridge,female,pearson_r,1,0.10597605024666865
liver_elasticity,full,clinical,ridge,female,pearson_r,2,0.10736030211414235
liver_elasticity,full,clinical,ridge,female,pearson_r,3,0.10262193072457443
liver_elasticity,full,clinical,ridge,female,pearson_r,4,0.0984854263090883
liver_elasticity,full,clinical,ridge,female,pearson_r,5,0.10585917292390623
liver_elasticity,full,clinical,ridge,female,pearson_r,6,0.09891147017415479
liver_elasticity,full,clinical,ridge,female,pearson_r,7,0.10409544121171253
liver_elasticity,full,clinical,ridge,female,pearson_r,8,0.10571237502903756
liver_elasticity,full,clinical,ridge,female,pearson_r,9,0.09842249894547873
liver_elasticity,full,clinical,ridge,female,pearson_r,10,0.10553321181837952
liver_elasticity,full,clinical,ridge,female,pearson_r,11,0.10378693419312157
liver_elasticity,full,clinical,ridge,female,pearson_r,12,0.10338134776552355
liver_elasticity,full,clinical,ridge,female,pearson_r,13,0.10200398426296056
liver_elasticity,full,clinical,ridge,female,pearson_r,14,0.10495720368169711
liver_elasticity,full,clinical,ridge,overall,pearson_r,0,0.2485621175937681
liver_elasticity,full,clinical,ridge,overall,pearson_r,1,0.2510579601378372
liver_elasticity,full,clinical,ridge,overall,pearson_r,2,0.24909164991186108
liver_elasticity,full,clinical,ridge,overall,pearson_r,3,0.24735745950213028
liver_elasticity,full,clinical,ridge,overall,pearson_r,4,0.24713607475491325
liver_elasticity,full,clinical,ridge,overall,pearson_r,5,0.2515233621202131
liver_elasticity,full,clinical,ridge,overall,pearson_r,6,0.24508032503917565
liver_elasticity,full,clinical,ridge,overall,pearson_r,7,0.24533737673742284
liver_elasticity,full,clinical,ridge,overall,pearson_r,8,0.2501264793302492
liver_elasticity,full,clinical,ridge,overall,pearson_r,9,0.24344327296742851
liver_elasticity,full,clinical,ridge,overall,pearson_r,10,0.24369580345449884
liver_elasticity,full,clinical,ridge,overall,pearson_r,11,0.24689339493913318
liver_elasticity,full,clinical,ridge,overall,pearson_r,12,0.2483645683808375
liver_elasticity,full,clinical,ridge,overall,pearson_r,13,0.2460055660390686
liver_elasticity,full,clinical,ridge,overall,pearson_r,14,0.24554244863202979
liver_viscosity,full,gait,-,male,pearson_r,0,0.20904545094838814
liver_viscosity,full,gait,-,male,pearson_r,1,0.22698040255031374
liver_viscosity,full,gait,-,male,pearson_r,2,0.21243082490013107
liver_viscosity,full,gait,-,male,pearson_r,3,0.20648488509659554
liver_viscosity,full,gait,-,male,pearson_r,4,0.19872073995340733
liver_viscosity,full,gait,-,male,pearson_r,5,0.19866193720291486
liver_viscosity,full,gait,-,male,pearson_r,6,0.19638869627607805
liver_viscosity,full,gait,-,male,pearson_r,7,0.20732104479074642
liver_viscosity,full,gait,-,male,pearson_r,8,0.200835642640254
liver_viscosity,full,gait,-,male,pearson_r,9,0.20687059471049604
liver_viscosity,full,gait,-,male,pearson_r,10,0.21230270332315596
