system,label,model,sub_model,n_subjects_all,n_subjects_male,n_subjects_female,n_subjects_unknown_sex,n_observations_all,n_observations_male,n_observations_female
bone_density,body_legs_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_pelvis_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_pelvis_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_pelvis_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_ribs_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_ribs_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_ribs_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_spine_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_spine_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_spine_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_left_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_left_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_left_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_right_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_right_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_total_right_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_left_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_left_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_left_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_right_area,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_right_bmc,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,body_trunk_right_bmd,gait_no_room_A,ensemble,2707,1330,1377,0,2707,1330,1377
bone_density,femur_left_lower_neck_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_lower_neck_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_lower_neck_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_neck_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
