sex,stratum_type,stratum,body_system,n_features,n_features_with_data,n_participants_in_band,median_delta_r,dispersion_across_features,dispersion_across_splits
M,age,≥65,microbiome,77,77,185,0.05972305890007612,0.07221806146806066,0.03817940834329836
M,age,≥65,nightingale,136,136,124,0.025682651787538882,0.07937599745897705,0.04006613008091887
M,age,≥65,renal_function,1,1,157,0.118340707708993,,0.03718845233074657
M,age,≥65,sleep_group,11,11,183,-0.012664294501879173,0.07920545705140428,0.028658460639953805
M,bmi,25–30,anthropometric_group,3,3,789,0.02615926752984566,0.0157172718516991,0.0015055704935746893
M,bmi,25–30,blood_tests_lipids,4,4,613,0.04798641634811375,0.01616152592634549,0.016146055971283282
M,bmi,25–30,body_composition,97,97,782,0.034433310615273306,0.03761468963777998,0.002079817809511659
M,bmi,25–30,bone_density,159,159,761,0.029907258598874834,0.04373637198562031,0.0045034538601301435
M,bmi,25–30,cardiovascular_system,40,40,758,0.024949837322519954,0.03758054581022739,0.012519452537947477
M,bmi,25–30,frailty,7,7,782,0.0407796782011524,0.03568853275806623,0.0025092193370062866
M,bmi,25–30,glycemic_status,3,3,623,0.02033018007939026,0.019310395432439953,0.009355310939864582
M,bmi,25–30,hematopoietic,2,2,789,0.06015166563680044,0.06796744068881524,0.012807735141035146
M,bmi,25–30,high_level_diet_with_stage,33,33,770,0.021638772866926014,0.026673551335040978,0.014138725129056059
M,bmi,25–30,immune_system,5,5,789,0.012016721699845054,0.018219967151710703,0.016847520051109528
M,bmi,25–30,lifestyle_group,13,13,673,0.052680419664448655,0.029432514652504568,0.016078691402983666
M,bmi,25–30,liver,4,4,787,0.022343514312269427,0.03583917735171211,0.01024369173209928
M,bmi,25–30,mental,2,2,728,0.03714264812352208,0.02125251888437915,0.018091990937992047
M,bmi,25–30,metabolites,307,307,544,0.03387950271848967,0.06034500593672663,0.02299303682166898
M,bmi,25–30,microbiome,77,77,775,0.030107614494117033,0.035112005542372184,0.017762636516353788
M,bmi,25–30,nightingale,136,136,419,0.05415321737790793,0.029446216319050533,0.021559156119841626
M,bmi,25–30,renal_function,1,1,641,0.017408567893061177,,0.018119403530190127
M,bmi,25–30,sleep_group,11,11,740,0.002740852372749336,0.03689089102427577,0.01362172016841957
M,bmi,<25,anthropometric_group,3,3,608,0.011951615463992165,0.01990748610259101,0.0014528373162898262
M,bmi,<25,blood_tests_lipids,4,4,438,0.03040239906552784,0.008338269236265653,0.016179969296710988
M,bmi,<25,body_composition,97,97,593,0.027647214397349955,0.032316191950291645,0.0018480324395210126
M,bmi,<25,bone_density,159,159,572,0.024330887897280662,0.04041557127218005,0.0050939787754901615
M,bmi,<25,cardiovascular_system,40,40,582,0.02374979474630736,0.06806387149963888,0.018254696263918575
M,bmi,<25,frailty,7,7,593,0.03344522279576571,0.03099267705809792,0.0028754897110979637
M,bmi,<25,glycemic_status,3,3,456,-0.010047916031076316,0.009652837874106248,0.02478573635652977
M,bmi,<25,hematopoietic,2,2,602,0.09831204827097986,0.026226080337740133,0.017460059089773657
M,bmi,<25,high_level_diet_with_stage,33,33,587,0.011074896515653515,0.02870712208160845,0.016192453083832357
M,bmi,<25,immune_system,5,5,603,0.009570194751007706,0.01169012660704438,0.023408746077733526
M,bmi,<25,lifestyle_group,13,13,519,0.05858754058363958,0.03185152707957859,0.02112561766887922
M,bmi,<25,liver,4,4,602,0.017100327612138783,0.02063192913029446,0.013877343401531964
M,bmi,<25,mental,2,2,560,0.08073822270219419,0.03324834581865479,0.01931123256491621
M,bmi,<25,metabolites,307,307,372,0.05212946438680275,0.06238955572427605,0.028162998506500746
M,bmi,<25,microbiome,77,77,596,0.019837402410952467,0.044462204140351465,0.02025543078240098
M,bmi,<25,nightingale,136,136,287,0.01689560000405127,0.032479983257926934,0.024373225509824216
M,bmi,<25,renal_function,1,1,470,-0.014281037424175054,,0.01337662593198936
M,bmi,<25,sleep_group,11,11,558,0.01848992794175474,0.036444700312988874,0.01824915877085227
M,bmi,≥30,anthropometric_group,3,3,211,0.049396832450911456,0.031056511681014337,0.0035556375087256757
M,bmi,≥30,blood_tests_lipids,4,4,168,0.09740420323928918,0.0790407323836113,0.031044997674719185
M,bmi,≥30,body_composition,97,97,207,0.06673167811165139,0.04457450341388249,0.004628086655965672
M,bmi,≥30,bone_density,159,159,203,0.049754367149751136,0.06518092643851565,0.009386744299359531
M,bmi,≥30,cardiovascular_system,40,40,201,0.0394373711808645,0.06650970675848347,0.030192519419271226
M,bmi,≥30,frailty,7,7,207,0.07873834695247724,0.03746910175716972,0.00542763520077534
M,bmi,≥30,glycemic_status,3,3,163,0.022319148238647203,0.07090503250216892,0.027669262503362744
M,bmi,≥30,hematopoietic,2,2,211,0.01326482982539964,0.07995321899453013,0.024997295188291746
M,bmi,≥30,high_level_diet_with_stage,33,33,207,0.043906164189949685,0.05829061293000773,0.024792587658863555
M,bmi,≥30,immune_system,5,5,211,0.11861763317324336,0.07407234294749973,0.03429323345699023
M,bmi,≥30,lifestyle_group,13,13,175,0.05018501387759037,0.10834646763066823,0.04215711596630321
M,bmi,≥30,liver,4,4,210,0.07070750187170483,0.04576930262522637,0.021500744813962414
M,bmi,≥30,mental,2,2,194,0.07136922824233125,0.0037495644626083543,0.03113599942907519
M,bmi,≥30,metabolites,307,307,133,0.03876591482767156,0.1047620683283732,0.04413764415404375
M,bmi,≥30,microbiome,77,77,205,0.02831344095425808,0.0716289847860491,0.03105113656155392
M,bmi,≥30,nightingale,136,136,105,0.0635650151765485,0.10904756360900679,0.05724689412156093
M,bmi,≥30,renal_function,1,1,171,0.01698461936479915,,0.053156308410524294
M,bmi,≥30,sleep_group,11,11,199,0.03632349373031495,0.028972040664331736,0.03082002546686381
