system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr,gait_std,baseline_std
medical_conditions,Erectile Dysfunction,auc,0.571741440377804,-0.0016252459082465,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5733666862860506,male,categorical,,0.7216796875,10,3504,10,1.0,0.0490896238487765,0.0443183143035554
medical_conditions,Haemorrhoids,auc,0.5334578947969877,-0.0020093002110969,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5354671950080846,male,categorical,,0.65234375,10,3504,302,1.0,0.0068684263093973,0.0056065455324687
medical_conditions,Heart valve disease,auc,0.5048314606741572,-0.0061501344178672,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5109815950920245,female,categorical,,0.75390625,10,3504,20,1.0,0.0277871894542144,0.029669654492126
medical_conditions,Meniscus Tears,auc,0.6057241046018365,-0.0067451105175552,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.6124692151193917,male,categorical,,0.65234375,10,3504,10,1.0,0.0253354357072032,0.039712645665918
medical_conditions,Sinusitis,auc,0.503151802072018,-0.0105944800953168,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5137462821673349,male,categorical,,0.8125,10,3504,37,1.0,0.0248799289323441,0.0232588711663147
medical_conditions,Hypertension,auc,0.7780756918496137,-0.0119268410784512,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.7900025329280649,female,categorical,,1.0,10,3504,161,1.0,0.0055947403376744,0.0013055758371665
medical_conditions,Back Pain,auc,0.5458674334417816,-0.0120371918229584,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.55790462526474,male,categorical,,0.9931640625,10,3504,306,1.0,0.0108214484795178,0.0042853956722364
medical_conditions,Allergy,auc,0.586061649740895,-0.0136690468033814,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5997306965442765,male,categorical,,1.0,10,3504,307,1.0,0.0073284839858593,0.0039364467643234
medical_conditions,Diabetes,auc,0.4735167653240267,-0.0140750298238067,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4875917951478334,male,categorical,,0.8837890625,10,3504,30,1.0,0.0226651276447868,0.0201296762142242
medical_conditions,Glaucoma,auc,0.6522181919642858,-0.0147762678695091,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.6669944598337949,female,categorical,,0.8837890625,10,3504,8,1.0,0.0380175135391814,0.0306215146377201
medical_conditions,Ischemic Heart Disease,auc,0.7249767355294994,-0.0150700740295053,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.7400468095590047,female,categorical,,0.8623046875,10,3504,9,1.0,0.0534965081540025,0.0389592389828493
medical_conditions,Migraine,auc,0.5402453164598897,-0.0159334477872609,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5561787642471506,female,categorical,,0.9990234375,10,3504,145,1.0,0.0139482566293304,0.0067172030799099
medical_conditions,Fractures,auc,0.5197020522971142,-0.0174367883545024,False,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5371388406516167,female,categorical,,0.998046875,10,3504,142,1.0,0.0118371687460589,0.0079128105977981
