activity,gender,target,duration_seconds,pearson_r,source
tm_3kmh,all,hr_bpm,60,0.2235975349204057,duration
tm_3kmh,all,hr_bpm,60,0.2252845208877819,duration
tm_3kmh,all,hr_bpm,60,0.2136727020120601,duration
tm_3kmh,all,hr_bpm,60,0.2014147179430636,duration
tm_3kmh,all,hr_bpm,60,0.2328695183469758,duration
tm_3kmh,all,hr_bpm,60,0.214291793734297,duration
tm_3kmh,all,hr_bpm,60,0.211749831283708,duration
tm_3kmh,all,hr_bpm,180,0.315603924699757,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3287870921674403,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3227523684755728,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3224417381349555,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3306861884112907,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3227701893061053,long_seq_180
tm_3kmh,all,hr_bpm,180,0.319107787915892,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3188464417219159,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3107260094290643,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3238636143611612,long_seq_180
tm_3kmh,all,hr_bpm,180,0.331146692643722,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3236778007366779,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3183609369463071,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3184462016563659,long_seq_180
tm_3kmh,all,hr_bpm,180,0.3328553574046049,long_seq_180
tm_3kmh,all,liver_elasticity,2,0.3219405996164417,duration
tm_3kmh,all,liver_elasticity,2,0.3148521449497966,duration
tm_3kmh,all,liver_elasticity,2,0.314288645144782,duration
tm_3kmh,all,liver_elasticity,2,0.3207578876828661,duration
tm_3kmh,all,liver_elasticity,2,0.3070935097241258,duration
tm_3kmh,all,liver_elasticity,2,0.3055392400535225,duration
tm_3kmh,all,liver_elasticity,2,0.3211460310177619,duration
tm_3kmh,all,liver_elasticity,2,0.3049174633781645,duration
tm_3kmh,all,liver_elasticity,2,0.32187565402334,duration
tm_3kmh,all,liver_elasticity,2,0.3135847378302634,duration
tm_3kmh,all,liver_elasticity,5,0.3191918605150621,duration
tm_3kmh,all,liver_elasticity,5,0.3186307053083054,duration
tm_3kmh,all,liver_elasticity,5,0.3188401572940342,duration
tm_3kmh,all,liver_elasticity,5,0.3196441473841192,duration
tm_3kmh,all,liver_elasticity,5,0.3113220260748485,duration
tm_3kmh,all,liver_elasticity,5,0.3094425126448202,duration
tm_3kmh,all,liver_elasticity,5,0.3258690200221716,duration
tm_3kmh,all,liver_elasticity,5,0.3082161796451644,duration
tm_3kmh,all,liver_elasticity,5,0.320647056043186,duration
tm_3kmh,all,liver_elasticity,5,0.3207955848063787,duration
tm_3kmh,all,liver_elasticity,10,0.3103103151436594,duration
tm_3kmh,all,liver_elasticity,10,0.3074799490293833,duration
tm_3kmh,all,liver_elasticity,10,0.3099265605593651,duration
tm_3kmh,all,liver_elasticity,10,0.3197583961116425,duration
tm_3kmh,all,liver_elasticity,10,0.3026059024694254,duration
tm_3kmh,all,liver_elasticity,10,0.2884851730185837,duration
tm_3kmh,all,liver_elasticity,10,0.3162094115123172,duration
tm_3kmh,all,liver_elasticity,10,0.3014812689243156,duration
tm_3kmh,all,liver_elasticity,10,0.3089546349751411,duration
tm_3kmh,all,liver_elasticity,10,0.3026350843101652,duration
tm_3kmh,all,liver_elasticity,15,0.3216352925220184,duration
tm_3kmh,all,liver_elasticity,15,0.3273140478433761,duration
tm_3kmh,all,liver_elasticity,15,0.3272887342616368,duration
tm_3kmh,all,liver_elasticity,15,0.3279131963868122,duration
tm_3kmh,all,liver_elasticity,15,0.3200975169560668,duration
tm_3kmh,all,liver_elasticity,15,0.3129276041029661,duration
tm_3kmh,all,liver_elasticity,15,0.3328130507265219,duration
tm_3kmh,all,liver_elasticity,15,0.3165129093512754,duration
tm_3kmh,all,liver_elasticity,15,0.3250463458814501,duration
tm_3kmh,all,liver_elasticity,15,0.3200658034313761,duration
tm_3kmh,all,liver_elasticity,30,0.3380554380330004,duration
tm_3kmh,all,liver_elasticity,30,0.3426581312590056,duration
tm_3kmh,all,liver_elasticity,30,0.3350305891288846,duration
tm_3kmh,all,liver_elasticity,30,0.3301372610238051,duration
tm_3kmh,all,liver_elasticity,30,0.3262219225983152,duration
tm_3kmh,all,liver_elasticity,30,0.3259647478818894,duration
tm_3kmh,all,liver_elasticity,30,0.3452256720777776,duration
tm_3kmh,all,liver_elasticity,30,0.3336464986547184,duration
tm_3kmh,all,liver_elasticity,30,0.3306456822048451,duration
tm_3kmh,all,liver_elasticity,30,0.3301479824445998,duration
tm_3kmh,all,liver_elasticity,60,0.3223883042423929,duration
tm_3kmh,all,liver_elasticity,60,0.3215815951978619,duration
tm_3kmh,all,liver_elasticity,60,0.3184046175863186,duration
tm_3kmh,all,liver_elasticity,60,0.3170872296282424,duration
tm_3kmh,all,liver_elasticity,60,0.3087585588280666,duration
tm_3kmh,all,liver_elasticity,60,0.3062485429712704,duration
tm_3kmh,all,liver_elasticity,60,0.3264124085713563,duration
tm_3kmh,all,liver_elasticity,60,0.3232820826428508,duration
tm_3kmh,all,liver_elasticity,60,0.3163980718953811,duration
tm_3kmh,all,liver_elasticity,60,0.3074072140662948,duration
tm_3kmh,all,liver_elasticity,180,0.3937735720576037,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3877710199925008,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3898100487296327,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3865479485128559,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.385752816565389,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3857420163303924,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3898464377867714,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3830574089632962,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3818926716178977,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3793448786298781,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3807825296794699,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3903070356439176,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3907679424363549,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3875236616104958,long_seq_180
tm_3kmh,all,liver_elasticity,180,0.3838200505350733,long_seq_180
self_selected_gait_speed,all,age,2,0.5194885860469813,duration
self_selected_gait_speed,all,age,2,0.5197741362107569,duration
self_selected_gait_speed,all,age,2,0.5178091234794332,duration
self_selected_gait_speed,all,age,2,0.5093840974324796,duration
self_selected_gait_speed,all,age,2,0.5141251020620506,duration
self_selected_gait_speed,all,age,2,0.5135812429162809,duration
self_selected_gait_speed,all,age,2,0.5181369114794969,duration
self_selected_gait_speed,all,age,2,0.5118010795216488,duration
self_selected_gait_speed,all,age,2,0.5177240345047938,duration
self_selected_gait_speed,all,age,2,0.5206984754395164,duration
self_selected_gait_speed,all,age,5,0.5520561583051741,duration
self_selected_gait_speed,all,age,5,0.5509454999192933,duration
self_selected_gait_speed,all,age,5,0.5507794111162535,duration
self_selected_gait_speed,all,age,5,0.5412286757925264,duration
self_selected_gait_speed,all,age,5,0.5491420931228423,duration
self_selected_gait_speed,all,age,5,0.550640391833806,duration
self_selected_gait_speed,all,age,5,0.5536038989252474,duration
self_selected_gait_speed,all,age,5,0.5517287812067591,duration
self_selected_gait_speed,all,age,5,0.5550438045568391,duration
self_selected_gait_speed,all,age,5,0.5505516482575544,duration
self_selected_gait_speed,all,age,10,0.5735502007893419,duration
self_selected_gait_speed,all,age,10,0.5700723825351789,duration
self_selected_gait_speed,all,age,10,0.574988535847584,duration
self_selected_gait_speed,all,age,10,0.5615663068208769,duration
self_selected_gait_speed,all,age,10,0.5715517484038592,duration
self_selected_gait_speed,all,age,10,0.5712175901932933,duration
self_selected_gait_speed,all,age,10,0.573078797545439,duration
self_selected_gait_speed,all,age,10,0.5723648314341487,duration
self_selected_gait_speed,all,age,10,0.571236024158061,duration
self_selected_gait_speed,all,age,10,0.5752832721551242,duration
self_selected_gait_speed,all,age,15,0.5806736170510525,duration
self_selected_gait_speed,all,age,15,0.57567385207537,duration
self_selected_gait_speed,all,age,15,0.5819374757200506,duration
self_selected_gait_speed,all,age,15,0.5695348036006678,duration
self_selected_gait_speed,all,age,15,0.5786929218851392,duration
self_selected_gait_speed,all,age,15,0.5767569239088429,duration
self_selected_gait_speed,all,age,15,0.5776846841132895,duration
self_selected_gait_speed,all,age,15,0.5807194462482694,duration
self_selected_gait_speed,all,age,15,0.5770877362207377,duration
self_selected_gait_speed,all,age,15,0.578099072537894,duration
self_selected_gait_speed,all,age,30,0.5911153203810825,duration
self_selected_gait_speed,all,age,30,0.5839524359861051,duration
self_selected_gait_speed,all,age,30,0.5888749872678964,duration
self_selected_gait_speed,all,age,30,0.5804913719314373,duration
self_selected_gait_speed,all,age,30,0.586455632214811,duration
self_selected_gait_speed,all,age,30,0.5884923020286447,duration
self_selected_gait_speed,all,age,30,0.5906451748038474,duration
self_selected_gait_speed,all,age,30,0.5894122906500251,duration
self_selected_gait_speed,all,age,30,0.5868866247883958,duration
self_selected_gait_speed,all,age,30,0.59052324885209,duration
self_selected_gait_speed,all,age,60,0.5897177979979086,duration
self_selected_gait_speed,all,age,60,0.5851565973587192,duration
self_selected_gait_speed,all,age,60,0.5898322351393745,duration
self_selected_gait_speed,all,age,60,0.5791174112800662,duration
self_selected_gait_speed,all,age,60,0.5816476021910445,duration
self_selected_gait_speed,all,age,60,0.5958232155870598,duration
self_selected_gait_speed,all,age,60,0.5884446037075157,duration
self_selected_gait_speed,all,age,60,0.5939577109866763,duration
self_selected_gait_speed,all,age,60,0.5949752410943844,duration
self_selected_gait_speed,all,age,60,0.5909860097912116,duration
self_selected_gait_speed,all,bmi,2,0.8344768659326536,duration
self_selected_gait_speed,all,bmi,2,0.8326331079448266,duration
self_selected_gait_speed,all,bmi,2,0.8330130984524904,duration
self_selected_gait_speed,all,bmi,2,0.8333218676673871,duration
self_selected_gait_speed,all,bmi,2,0.8335608604508461,duration
self_selected_gait_speed,all,bmi,2,0.8338877577057763,duration
self_selected_gait_speed,all,bmi,2,0.8300676319044774,duration
self_selected_gait_speed,all,bmi,2,0.8330061775320264,duration
self_selected_gait_speed,all,bmi,2,0.830837600235985,duration
self_selected_gait_speed,all,bmi,2,0.8319349131647746,duration
self_selected_gait_speed,all,bmi,5,0.8415615736089499,duration
self_selected_gait_speed,all,bmi,5,0.8396519342569214,duration
self_selected_gait_speed,all,bmi,5,0.8403736570111958,duration
self_selected_gait_speed,all,bmi,5,0.8402054692638184,duration
self_selected_gait_speed,all,bmi,5,0.8418728256806863,duration
self_selected_gait_speed,all,bmi,5,0.8398146330935978,duration
self_selected_gait_speed,all,bmi,5,0.8375597125836753,duration
self_selected_gait_speed,all,bmi,5,0.837700623862091,duration
self_selected_gait_speed,all,bmi,5,0.8370275337925638,duration
