system,endpoint,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,Peptic Ulcer Disease,female,4,0.5025300723511917,0.5691553109325758
medical_conditions,Peptic Ulcer Disease,female,5,0.5423676150739047,0.6298104665098317
medical_conditions,Peptic Ulcer Disease,female,6,0.5166896000710196,0.65697545385947
medical_conditions,Peptic Ulcer Disease,female,7,0.5113853255803631,0.6540458964001953
medical_conditions,Peptic Ulcer Disease,female,8,0.5699320875316259,0.6089484664210573
medical_conditions,Peptic Ulcer Disease,female,9,0.5360202405788095,0.6081273025877758
medical_conditions,Urinary Tract Stones,female,0,0.5,0.4639447958596895
medical_conditions,Urinary Tract Stones,female,1,0.5,0.5167337550316273
medical_conditions,Urinary Tract Stones,female,2,0.5,0.5159574468085106
medical_conditions,Urinary Tract Stones,female,3,0.5,0.4985911443358252
medical_conditions,Urinary Tract Stones,female,4,0.5,0.409286946520989
medical_conditions,Urinary Tract Stones,female,5,0.5,0.4445658424381828
medical_conditions,Urinary Tract Stones,female,6,0.5,0.5033640023001725
medical_conditions,Urinary Tract Stones,female,7,0.5,0.4716791259344451
medical_conditions,Urinary Tract Stones,female,8,0.5,0.4411155836687751
medical_conditions,Urinary Tract Stones,female,9,0.5,0.4658424381828637
medical_conditions,Fractures,female,0,0.5,0.5244584389453605
medical_conditions,Fractures,female,1,0.5188729781285114,0.4849442978215613
medical_conditions,Fractures,female,2,0.5014959889205362,0.527419930840454
medical_conditions,Fractures,female,3,0.5094462881183203,0.5034318464901966
medical_conditions,Fractures,female,4,0.5,0.506506571898926
medical_conditions,Fractures,female,5,0.5143675908263433,0.5086797843337079
medical_conditions,Fractures,female,6,0.5287112284094175,0.5016070448666022
medical_conditions,Fractures,female,7,0.5027306697326818,0.499525290269757
medical_conditions,Fractures,female,8,0.5069878143318787,0.4982535908089228
medical_conditions,Fractures,female,9,0.507421150278293,0.5343533059830847
medical_conditions,Headache,female,0,0.5001990754053396,0.6383352872215708
medical_conditions,Headache,female,1,0.5066634962065075,0.6123780663142294
medical_conditions,Headache,female,2,0.5,0.5934437833174812
medical_conditions,Headache,female,3,0.5353358844477869,0.6053440686588953
